address,amount_usd,success,selector_used,user_agent
0x080063b4801832aac728ec5c7d67cecd9f3b992f,61746,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x088f276fa36cab062c48283d75ceb24aa8a6f771,38939,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x08cb7d04608cd6c3543edb287108bb4f8426b2a6,993,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x096529d95d7742a02532ed8c672fdafa87bc4747,471,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x0cb6271d8c43695841fe0d8c3cbb4ebe088ec2a3,8655,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x0fcc60ba6ce0ea2cd094bf07f0cd7ea14e103772,4961,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x12acf1f251f4d3c4a83d764b10e54c40f3013c38,49104,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x1e1e8a7335e29d93ec4c4e6b2e1fd64e0f307853,10026,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0x1f06b613e69c46186b15897f054cc16bc2bb10a0,21,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0x20f5ceea3835fa91c0d16e1eeb6c5359fa22cc2f,10233,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x229c15011fda808a2b98d487ca55291641740062,3274,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x264ef753d3686d2f4a73a2852ced23ca3a6b6f76,99860,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0x2a64bfe71241e6bfca8aea600eabc363465ef776,3009,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x2ad3641c227a977cacc5ce25a26b4f6e596e9775,185412,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0x2b2e3da881eb5eb7db391c7934cd34941cd5fbee,249263,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x2d7235f2ccfdf29e346c591b9e97c05a493fc773,198471,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x3606e39ed7cda9777b9469c40f5befa71a1eb6f6,3004,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x393200a58da0047e1d4ae9559e3c9aa165ab2782,131357,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x3a9f851cb0df5f88f10b0b461a8e9bbbb11ab575,1635,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0x3c5477063da98a605624847ffd9ef4d8267378fd,28393,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x3d734009ff16366a1d3805e762663cb147136d80,6399,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x3f411483f9d772a8be8419792abe0313e8931440,57004,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x3f93bb776eb15c1296112ba80f332910fc41da4d,9554,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x3fb6e49beddaeb14282066083fa43159b9b95f4e,37758,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x42285a766208bb5c8bfd678758f7e475d42c36af,0,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x43cf3e8d2893bc02ca91a52e967c76ee6739958d,218983,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x468ad891d5c750f2b07a8d60ceb1bd83e1a9f141,10017,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x47e60bdd18e186a68f4fcf6526b539d600626b1a,1991,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0x4bd684588dcc799625c0e66d02728ac8b4cf59af,11023,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x4fc824f7047bfde9a0a8df810d196325b02c9248,91262,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x578b6122b8aca611b51fdd04bee8e1319ce1e96e,46236,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0x586bbb69942efcbbdc6f711e37a97d2e372a0690,555,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0x59e3ce17e18b5615de9a86d45768d21f23439b7a,4167,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0x5c63cb44522c979f16e67ee4728349c149fb1ac6,8975,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x5d73b898a0b1307ad54acf8c72f60edf07eb6f76,1157,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x632cae603b960df08485a69c44b46abc74ec9ece,10012,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0x67d06422914a71f3cbf168d80ce5a4b4c930b108,1576219,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x6b758523e380cceeeea0c3e54dafbb1053603b7e,3272,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x6bc9527bc2226130e941506d0f3afcabb2d7de14,21810,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0x6bfe3a1bd917f8fe50eb624d50a0774af03a8b8e,43171,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x6f5e2c0e56ff2d1187b1628d17b63e2dfa2f59b6,0,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x701e792bc3dd90d3ed707a3b8f78ac007d9aafb8,2969,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x70e467af0cb9e68afaff0cad9408d51aec9b5c34,4406,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0x72450f10dbc7277b4b3441dc54e75b9bc462e8d6,995084,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x786a05b29661a3cfdd45bc0a404a96363795f3fa,68918,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x78a64770ca018469678fccef26eedc15063c1d28,1960,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x7941dba51da5fb5ecc96b5b3cf73c27d8230cba2,2824,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x79a3d44fac2fb34298c9937c46396ccf33e9559f,88238,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x79a8667434df8778918c07d7ec8641d76190e2ae,9934,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x7a33cad63bd0b75a4c453d2e4fcc2845df38712f,170152,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x7a6d0f41641906665890ecd0e27a317e99800993,32853,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/121.0
0x7ac1303054eb93927aadf6d30379ea2d13e539d4,76582,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
0x7b5e27136381b7050fa14ca63d1748827ab63dd8,69030,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x7bb00bfebc4fafefc4a5eae0311dd45204a7cad7,0,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x7cf27c136041d03c8d5524888821d0eaba6a05f1,458033,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15"
0x7d06ca5a872751a809efde78a06c9660ff862127,538,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x7d795a75551a3b5c54c77238c14854ca7a1ba3f6,976553,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7; rv:109.0) Gecko/20100101 Firefox/115.0
0x83e0f1c06becedb479d7e635f787155e6f1f2e2d,9580,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x8438a0a00bfe46081cf3635730b62dc99d1df4bc,2769,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
0x8584c3e2d3d8f6d7755015db5ff154a3017c4786,12,true,[class*=""HeaderInfo_totalAssetInner""],"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
0x8604ea5e711645f207cd53bd5df400000008362c,11853,true,[class*=""HeaderInfo_totalAssetInner""],Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/121.0
